Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
1041,4 6 6 12,11.88,86%,11.56,5.8
1042,5 8 10 12,11.88,84.30%,11.18,5.05
1043,3 3 3 11,11.91,78%,10.71,5.38
1044,5 5 8 12,11.91,79.50%,10.98,5.06
1045,1 3 3 6,11.93,87.20%,11.83,5.16
1046,2 5 7 13,11.99,83.80%,11.74,5.61
1047,1 5 8 11,12.07,89.20%,12.42,5.56
1048,2 3 5 13,12.07,85.50%,11.88,5.34
1049,3 4 8 9,12.07,88.10%,12.24,5.03
1050,2 5 5 7,12.09,82%,11.59,4.86
1051,4 10 11 13,12.16,76.20%,10.51,5.57
1052,2 6 6 7,12.21,78.40%,10.67,5.54
1053,7 10 10 12,12.21,78%,11.01,5.07
1054,2 5 7 11,12.22,82.40%,11.59,5.71
1055,4 4 6 9,12.24,77.40%,10.48,5.57
1056,6 9 10 12,12.25,80.50%,11.36,5.94
1057,6 9 9 12,12.26,87%,12.17,5.82
1058,2 3 6 12,12.28,91%,12.71,5.2
1059,2 4 4 5,12.28,82.10%,11.3,5.16
1060,2 4 4 10,12.28,89.60%,12.37,5.14
1061,3 3 3 4,12.34,82.40%,11.57,6.01
1062,2 2 2 7,12.35,73.30%,9.51,5.67
1063,4 9 10 11,12.38,76.80%,10.69,5.81
1064,7 9 10 11,12.41,76.90%,10.81,5.32
1065,1 4 5 7,12.43,87.90%,12.45,5.27
1066,3 4 9 9,12.43,84.20%,12.03,4.99
1067,3 3 6 8,12.46,74.60%,10.38,5.58
1068,4 4 7 8,12.52,83.80%,12.28,5.55
1069,3 5 11 12,12.56,79.90%,11.32,5.7
1070,4 4 6 10,12.57,87.50%,12.6,5.35
1071,4 6 9 13,12.58,85.50%,12.59,5.18
1072,3 5 6 11,12.59,82.50%,11.93,6.55
1073,1 5 8 13,12.64,80.10%,11.42,5.73
1074,3 3 9 13,12.64,74.60%,10.56,5.85
1075,7 7 9 10,12.64,75.80%,11.23,5.19
1076,2 4 8 13,12.7,82.20%,12.07,5.92
1077,4 4 6 8,12.7,84.20%,12.14,6.52
1078,2 4 5 7,12.71,78.40%,11.3,5.62
1079,1 4 7 9,12.74,82.20%,12,5.11
1080,4 7 10 12,12.74,79.80%,11.37,5.54
1081,4 5 8 13,12.76,78%,11.33,5.89
1082,5 6 10 12,12.78,75.80%,10.91,5.45
1083,6 9 11 13,12.78,72.50%,10.29,5.96
1084,5 7 7 9,12.8,74.20%,11.06,5.06
1085,1 4 5 9,12.83,81.90%,11.81,6.41
1086,5 7 11 13,12.83,70.80%,10,5.17
1087,3 3 5 10,12.84,82.90%,12.05,5.32
1088,4 8 12 12,12.85,85.60%,12.23,5.83
1089,2 3 3 3,12.87,82.10%,11.84,5.96
1090,2 5 10 13,12.92,82.10%,12.4,5.91
1091,1 4 6 6,12.97,80%,11.77,6.38
1092,2 3 8 8,12.98,80.40%,11.84,5.7
1093,6 9 11 12,13.02,75.90%,10.98,5.93
1094,1 1 6 9,13.05,81%,11.34,6.4
1095,5 9 10 13,13.05,78%,11.54,5.87
1096,1 5 6 11,13.06,81%,11.93,6.47
1097,4 4 5 12,13.09,79%,11.5,5.91
1098,3 5 6 13,13.1,76%,11.28,5.52
1099,1 4 5 8,13.16,82.70%,12.46,5.64
1100,5 5 7 10,13.19,73.80%,11.38,4.96
1101,2 2 2 9,13.21,76.60%,10.98,6.35
1102,5 7 10 10,13.28,76.50%,12.05,5.27
1103,2 3 5 10,13.29,80.20%,12.07,5.35
1104,2 8 10 13,13.34,80.90%,12.56,5.95
1105,6 7 7 10,13.34,73%,10.83,5.3
1106,2 7 10 11,13.37,78.90%,12.25,6.04
1107,3 5 7 8,13.37,85.40%,12.95,5.94
1108,6 8 11 12,13.39,77.90%,12.23,5.74
1109,1 3 6 10,13.46,82.10%,12.08,6.87
1110,4 10 10 12,13.46,78.40%,12.16,6.28
1111,7 10 11 13,13.49,73.30%,11.07,5.79
1112,4 5 8 10,13.55,75.90%,11.31,5.9
1113,3 8 9 11,13.57,80.10%,12.64,6.8
1114,6 12 12 12,13.66,76.60%,11.63,6.62
1115,2 10 12 13,13.77,81.40%,13.06,6.04
1116,6 7 10 10,13.83,70.80%,10.47,5.73
1117,2 3 7 8,13.89,80.20%,12.68,5.59
1118,3 5 9 9,13.9,79.40%,12.9,6.13
1119,2 2 5 9,13.93,74.30%,11.71,6.28
1120,2 4 7 9,13.95,80.60%,13.14,6.36
1121,2 3 8 9,14.01,81.30%,12.85,6.23
1122,3 5 5 11,14.19,79%,13.09,5.43
1123,3 3 9 11,14.2,79.10%,13.05,5.65
1124,5 7 9 11,14.2,71.10%,11.09,5.89
1125,1 3 7 9,14.22,80.40%,12.74,5.47
1126,2 4 9 10,14.24,79.30%,12.99,6
1127,3 5 12 12,14.26,67.20%,9.62,5.75
1128,3 3 8 10,14.27,80.30%,13.49,5.53
1129,4 4 5 13,14.32,73.30%,11.87,7.01
1130,3 4 4 11,14.39,76.40%,12.57,6.37
1131,4 5 8 11,14.4,73.80%,11.71,6.59
1132,3 4 4 10,14.42,77.10%,12.1,6.66
1133,2 6 12 13,14.46,78.60%,13.39,5.8
1134,3 6 11 13,14.46,73.20%,11.3,6.74
1135,1 3 5 6,14.49,86.30%,14.16,5.91
1136,3 3 4 13,14.49,76.80%,12.26,6.76
1137,4 6 9 12,14.54,77.80%,12.61,7.02
1138,6 10 10 13,14.57,69.10%,10.81,5.99
1139,2 5 9 10,14.58,78.10%,13.05,6.18
1140,5 5 9 11,14.6,71.10%,12.27,5.16
1141,3 4 7 12,14.65,82.40%,14.04,6.09
1142,2 6 9 12,14.66,82.70%,13.71,6.54
1143,5 6 6 12,14.72,80.70%,13.46,6.01
1144,2 5 9 11,14.75,76.50%,13.08,6.84
1145,5 9 9 12,14.78,75.70%,12.97,6.67
1146,4 4 4 10,14.82,76.90%,12.75,6.5
1147,3 4 10 10,14.86,75.50%,12.9,6.06
1148,2 2 5 10,14.91,78.60%,13.45,5.78
1149,3 3 9 10,14.94,78.10%,13.6,6.1
1150,4 7 8 12,14.95,79.40%,13.86,6.69
1151,7 9 12 12,14.96,64.20%,9.28,5.41
1152,2 2 7 7,14.97,69.80%,11.21,5.96
1153,3 6 8 13,14.97,81.30%,14.28,6.12
1154,2 2 3 4,14.98,77.40%,13.18,6.13
1155,5 7 8 10,14.99,71.20%,12.15,5.63
1156,1 5 11 12,15.01,71%,11.36,6.19
1157,4 6 8 10,15.11,76.70%,12.71,7.59
1158,2 4 10 11,15.16,79.20%,13.93,6.45
1159,3 6 6 13,15.17,72.80%,12.06,6.38
1160,3 6 8 12,15.17,80.50%,13.79,6.15
1161,1 4 4 6,15.31,79.60%,13.55,6.77
1162,2 5 8 8,15.42,71%,11.68,6.59
1163,7 7 7 12,15.42,65.20%,8.98,6.11
1164,4 5 7 13,15.43,72.80%,12.42,6.22
1165,5 5 5 12,15.48,67.40%,10.23,6.42
1166,2 6 11 12,15.49,77.70%,13.96,6.35
1167,2 3 8 10,15.61,82.20%,14.94,6.54
1168,1 5 5 10,15.65,71.20%,11.64,6.98
1169,2 5 5 9,15.7,78.50%,14.39,5.98
1170,5 7 12 12,15.74,66%,10.44,6.26
1171,4 7 8 11,15.79,69%,10.78,6.62
1172,3 3 8 13,15.87,69.70%,11.39,6.25
1173,1 3 12 13,16.02,75.60%,13.66,6.86
1174,1 3 8 10,16.05,71%,12.31,6.49
1175,2 3 6 7,16.08,80.80%,15.05,6.62
1176,2 2 6 7,16.26,72.50%,13.03,6.84
1177,5 6 9 13,16.28,69%,12.46,6.11
1178,6 10 11 12,16.3,69.70%,12.94,6.17
1179,4 9 9 12,16.33,71.80%,13.42,6.47
1180,2 6 6 9,16.46,72.80%,13.03,6.55
1181,1 3 11 12,16.48,75.60%,14.03,7.05
1182,3 10 11 13,16.48,71.20%,13.31,6.3
1183,1 4 10 12,16.53,72.10%,12.81,6.61
1184,5 5 6 8,16.54,78.10%,14.9,6.54
1185,6 8 9 10,16.55,71.20%,12.69,7.07
1186,2 6 10 11,16.57,73.10%,13.69,6.98
1187,3 9 9 13,16.62,67.20%,12.08,6.04
1188,2 4 4 9,16.71,73.40%,13.42,7.28
1189,10 12 12 12,16.86,64.10%,10.25,5.73
1190,2 3 7 10,16.91,76.90%,14.96,6.78
1191,2 7 10 10,17.01,68.10%,13.35,5.81
1192,8 8 8 11,17.01,63.50%,10.21,5.97
1193,6 6 9 10,17.09,69.80%,13.35,6.88
1194,2 3 7 7,17.1,76.50%,15.28,6.63
1195,6 6 6 10,17.22,66%,11.49,6.49
1196,5 7 7 10,17.26,68%,13.19,6.49
1197,2 2 9 12,17.27,72.90%,14.93,6.39
1198,3 6 8 10,17.4,66.60%,11.97,6.77
1199,3 5 7 12,17.46,71%,14.01,7.67
1200,3 5 8 9,17.49,75.80%,15.67,7.53
1201,3 9 9 11,17.68,70.50%,13.69,7.48
1202,2 8 10 12,17.74,79.80%,16.35,7.45
1203,3 8 9 13,17.76,73.40%,15.28,7.09
1204,9 9 9 12,17.85,63.80%,9.66,6.59
1205,3 4 8 13,17.98,70%,13.65,7.61
1206,2 6 7 10,18.01,69.80%,12.96,7.22
1207,2 6 9 10,18.43,69.70%,14.78,6.85
1208,4 5 6 9,18.44,75.30%,16.49,7.02
1209,8 10 12 13,18.47,67.30%,14.31,6.27
1210,2 6 8 9,18.52,72.40%,15.58,6.65
1211,3 5 12 13,18.66,67.90%,14.53,6.59
1212,2 4 7 8,18.98,76.50%,16.76,7.16
1213,4 8 9 12,18.98,72.50%,16.31,6.84
1214,3 5 9 10,19.12,68.10%,14.34,7.53
1215,2 3 10 10,19.18,69.50%,14.5,7.5
1216,2 2 4 12,19.2,75.10%,15.22,9.15
1217,2 2 9 10,19.3,65.30%,14.24,7.34
1218,2 7 10 12,19.38,70.20%,15.86,7.05
1219,2 2 4 4,19.5,72%,15.01,8.18
1220,2 3 11 11,19.52,68.30%,14.88,7.67
1221,1 3 3 8,19.57,74%,15.7,7.86
1222,6 8 8 9,19.59,63%,11.71,7.2
1223,8 10 12 12,19.59,63.60%,11.62,7.37
1224,10 10 10 12,19.93,61.50%,10.24,6.8
1225,2 3 9 12,20.01,67.30%,13.12,7.61
1226,6 8 10 11,20.09,64.60%,13.61,7.17
1227,7 8 8 10,20.1,61.20%,12.07,7.63
1228,1 5 7 10,20.39,69.50%,16.27,7.63
1229,3 5 10 11,20.53,69.50%,15.99,8.37
1230,5 9 12 13,20.53,64.40%,15.67,7.03
1231,1 3 8 11,20.54,73.40%,16.85,8.28
1232,2 7 12 12,20.66,62.80%,12.25,7.39
1233,1 2 8 10,20.88,67.70%,15.12,7.81
1234,9 11 12 12,20.88,59.50%,10.72,6.43
1235,1 6 10 12,21.11,65.80%,13.99,7.82
1236,4 4 8 9,21.14,69.60%,16.8,8.28
1237,2 3 3 5,21.16,69.50%,15.7,8.49
1238,3 6 9 13,21.16,68.90%,17.22,7.59
1239,3 3 7 8,21.37,68.30%,16.85,8.09
1240,3 5 7 11,21.39,64%,14.47,7.8
1241,2 3 5 8,21.44,72.90%,17.88,7.71
1242,4 5 7 10,21.65,63.60%,14.31,7.8
1243,5 7 10 13,22.5,61.60%,16.46,7.35
1244,2 9 10 10,22.59,60.60%,16.58,7.36
1245,2 4 5 10,22.9,67%,17.3,8.07
1246,2 3 6 8,23.06,75.30%,20.16,8.88
1247,5 9 11 13,23.25,61.50%,16.69,7.75
1248,3 4 5 13,23.39,65.60%,17.76,8.49
1249,1 5 9 12,23.75,62.60%,14.09,8.74
1250,3 4 4 4,24.47,67.30%,17.82,9.81
1251,5 7 9 10,24.53,61%,15.63,8.68
1252,6 6 7 11,24.57,58%,13.11,8.12
1253,2 5 10 12,24.67,63.70%,17.88,8.55
1254,4 10 11 12,24.71,62.90%,17.56,8.97
1255,2 4 5 5,24.72,60.40%,15.23,8.46
1256,2 2 5 8,24.84,63.50%,16.69,9.19
1257,8 8 9 12,24.93,56.70%,12.65,7.52
1258,3 4 7 8,25.04,61.10%,14.33,8.25
1259,5 6 6 9,25.04,59.20%,14.12,8.75
1260,3 5 10 10,25.12,54.30%,12.34,6.59
1261,2 2 6 11,25.22,62.20%,18.4,8.58
1262,4 9 10 12,25.27,61.70%,17.05,9.01
1263,8 9 11 11,25.64,58%,15.82,8.41
1264,3 9 11 13,26.26,57.60%,13.9,8.31
1265,4 7 8 10,26.26,62.90%,18.82,9.21
1266,5 6 7 9,26.31,60.10%,16.12,9.07
1267,2 6 9 9,26.53,58%,14.29,8.07
1268,2 3 13 13,26.93,58.40%,17.55,9.57
1269,1 7 12 13,27.75,56.30%,15.1,9.28
1270,1 4 9 13,27.76,61.10%,18.83,10.02
1271,4 10 10 11,27.76,54.80%,19.34,9.04
1272,3 4 5 11,28.16,63.30%,20.54,9.87
1273,3 3 6 6,28.41,58%,14.18,8.38
1274,6 6 9 13,28.91,53.80%,13.19,8.3
1275,4 5 9 12,29.11,60.90%,22.06,10.07
1276,2 3 7 9,30.64,57.60%,18.33,10.12
1277,4 4 7 13,30.78,53.80%,15.04,9.44
1278,2 2 7 10,30.9,53.40%,16.2,8.61
1279,2 5 12 13,31.29,58%,22.35,9.97
1280,1 4 6 10,31.39,56.30%,18.81,9.37
1281,3 6 7 10,31.92,57.40%,21.85,10.37
1282,1 2 7 7,32.73,55%,17.28,10.37
1283,2 5 8 12,32.82,54.60%,17.78,9.75
1284,3 8 10 12,34.45,53.60%,20.48,10.33
1285,6 7 11 11,35.1,46.40%,19.8,10.15
1286,2 2 3 10,35.18,54.90%,18.21,10.27
1287,2 5 7 9,35.29,52.70%,23.49,10.35
1288,2 4 7 7,35.73,50.70%,17.22,9.67
1289,2 2 6 9,36.11,52.10%,17.94,10.05
1290,7 9 11 12,36.61,50%,17.36,10.44
1291,4 7 9 11,37.32,51.40%,22.71,11.23
1292,2 2 3 5,38.49,51.50%,15.34,8.81
1293,5 5 8 11,39.1,45.80%,24.18,10.92
1294,3 6 6 10,39.12,50.30%,18.48,10.7
1295,7 8 9 12,41.23,48.70%,16.03,10.12
1296,1 5 11 11,41.41,43.30%,15.93,9.75
1297,5 10 10 11,42.21,41.30%,14.82,7.03
1298,1 2 9 11,45.03,44.90%,22.27,12.16
1299,1 5 5 5,45.49,43.60%,11.92,7.27
1300,4 9 11 11,47.16,43.30%,25.26,13.98
1301,5 9 10 11,47.17,42.70%,28.12,13.4
1302,1 7 13 13,47.38,41.70%,13.99,8.41
1303,6 7 7 11,48.6,42.40%,27.65,14.51
1304,3 3 7 7,48.84,41.20%,12.6,7.37
1305,5 10 10 13,49.61,38.50%,17.09,8.06
1306,3 5 8 13,50.53,41.90%,30.48,13.89
1307,8 9 10 12,51.24,42.50%,21.95,13.98
1308,2 5 6 9,52.95,44%,27.17,13.41
1309,1 6 11 13,54.62,38.10%,18.47,9.98
1310,1 3 9 10,55.16,40.80%,23.19,12.28
1311,4 6 6 10,55.98,40.20%,22.83,12.31
1312,4 4 7 7,56.41,38.80%,14.56,8.11
1313,2 2 11 11,57.22,40.10%,13.2,8.62
1314,5 7 9 12,57.59,39.60%,17.8,11.41
1315,4 5 6 12,58.44,44.10%,21.82,16.05
1316,4 6 7 9,58.49,42%,19.47,12.15
1317,6 12 12 13,60.5,37.90%,15.11,8.3
1318,4 4 10 10,60.61,39.70%,13.47,9.13
1319,4 7 11 13,61.01,37%,30.84,16.48
1320,4 5 6 11,61.48,38%,19.42,10.88
1321,3 5 8 12,62.47,38%,27.97,13.34
1322,3 4 6 13,63.1,40.40%,20.37,11.69
1323,6 7 8 12,63.27,40.70%,16.9,12.18
1324,2 4 11 12,63.58,39.40%,23.37,13.12
1325,5 7 10 11,64.03,35.50%,23.76,13.12
1326,2 2 13 13,64.44,37.30%,14.05,8.25
1327,6 11 12 12,64.75,36.30%,15.4,8.93
1328,5 8 9 13,64.8,34.90%,34.56,16.2
1329,7 10 12 13,67.86,37.40%,22.3,12.55
1330,5 6 8 13,68.54,36.40%,22.65,11.42
1331,2 7 8 9,69.74,39.80%,18.28,10.87
1332,2 2 6 13,71.49,33.10%,30.83,16.35
1333,5 6 9 11,72.21,33.40%,26.15,15
1334,1 4 7 11,72.93,35.70%,29.78,16.43
1335,6 9 9 10,80.98,31.60%,32.75,18.6
1336,2 5 7 8,83.96,32.90%,28.52,15.64
1337,7 8 8 13,84.91,29.50%,27.08,15.03
1338,5 7 7 11,88.29,27.40%,25.62,12.84
1339,3 3 7 13,88.82,27.60%,32.8,18.62
1340,4 8 8 13,88.89,29.10%,24.53,14.05
1341,4 8 8 11,88.95,30%,23.19,13.84
1342,3 8 8 10,90.4,28.90%,25.35,16.08
1343,2 7 7 10,90.8,27%,26.85,12.93
1344,5 5 7 11,91.1,26.10%,25.79,13.15
1345,2 3 8 13,92.19,32%,23.64,12.74
1346,7 8 10 11,95.22,29.80%,24.05,14.09
1347,2 2 10 11,96.37,30.20%,26.2,17.05
1348,9 11 12 13,99.38,27.90%,22.06,13.19
1349,1 6 6 8,101.21,29.80%,21.64,13.19
1350,3 3 8 8,104.24,30.80%,15.65,10.6
1351,1 8 12 12,104.58,29%,20.38,13.12
1352,3 3 5 7,104.76,29.20%,28.32,17.86
1353,2 4 7 12,108.41,28.10%,28.97,16.35
1354,2 9 13 13,110.09,24.90%,30.9,19.5
1355,3 7 9 13,110.86,26%,39.84,21.67
1356,2 4 10 10,111.72,25.80%,28.72,18.53
1357,3 6 6 11,112.28,27.10%,24.73,15.29
1358,3 5 7 13,122.99,23.60%,38.68,21.2
1359,2 5 5 10,188.2,22.10%,24.09,16.42
1360,1 4 5 6,195.91,28.70%,18.38,11.81
1361,1 3 4 6,201.57,26.90%,19.77,12.1
1362,2 3 5 12,207.89,20.70%,29.96,22.37
